82,Cloud mixing ratio [kg/kg],5000[Pa] ISBL="Isobaric surface"
83,Ice water mixing ratio [kg/kg],5000[Pa] ISBL="Isobaric surface"
84,Rain mixing ratio [kg/kg],5000[Pa] ISBL="Isobaric surface"
85,Snow mixing ratio [kg/kg],5000[Pa] ISBL="Isobaric surface"
86,Graupel (snow pellets) [kg/kg],5000[Pa] ISBL="Isobaric surface"
87,Ozone Mixing Ratio [kg/kg],5000[Pa] ISBL="Isobaric surface"
88,Geopotential height [gpm],7000[Pa] ISBL="Isobaric surface"
89,Temperature [C],7000[Pa] ISBL="Isobaric surface"
90,Relative humidity [%],7000[Pa] ISBL="Isobaric surface"
91,u-component of wind [m/s],7000[Pa] ISBL="Isobaric surface"
92,v-component of wind [m/s],7000[Pa] ISBL="Isobaric surface"
93,Absolute vorticity [1/s],7000[Pa] ISBL="Isobaric surface"
94,Ozone Mixing Ratio [kg/kg],7000[Pa] ISBL="Isobaric surface"
95,Geopotential height [gpm],10000[Pa] ISBL="Isobaric surface"
96,Temperature [C],10000[Pa] ISBL="Isobaric surface"
97,Relative humidity [%],10000[Pa] ISBL="Isobaric surface"
98,Total cloud cover [%],10000[Pa] ISBL="Isobaric surface"
99,Vertical velocity (pressure) [Pa/s],10000[Pa] ISBL="Isobaric surface"
100,Verical velocity (geometric) [m/s],10000[Pa] ISBL="Isobaric surface"
101,u-component of wind [m/s],10000[Pa] ISBL="Isobaric surface"
102,v-component of wind [m/s],10000[Pa] ISBL="Isobaric surface"
103,Absolute vorticity [1/s],10000[Pa] ISBL="Isobaric surface"
104,Cloud mixing ratio [kg/kg],10000[Pa] ISBL="Isobaric surface"
105,Ice water mixing ratio [kg/kg],10000[Pa] ISBL="Isobaric surface"
106,Rain mixing ratio [kg/kg],10000[Pa] ISBL="Isobaric surface"
107,Snow mixing ratio [kg/kg],10000[Pa] ISBL="Isobaric surface"
108,Graupel (snow pellets) [kg/kg],10000[Pa] ISBL="Isobaric surface"
109,Icing severity [-],10000[Pa] ISBL="Isobaric surface"
110,Ozone Mixing Ratio [kg/kg],10000[Pa] ISBL="Isobaric surface"
111,Geopotential height [gpm],15000[Pa] ISBL="Isobaric surface"
112,Temperature [C],15000[Pa] ISBL="Isobaric surface"
113,Relative humidity [%],15000[Pa] ISBL="Isobaric surface"
114,Total cloud cover [%],15000[Pa] ISBL="Isobaric surface"
115,Vertical velocity (pressure) [Pa/s],15000[Pa] ISBL="Isobaric surface"
116,Verical velocity (geometric) [m/s],15000[Pa] ISBL="Isobaric surface"
117,u-component of wind [m/s],15000[Pa] ISBL="Isobaric surface"
118,v-component of wind [m/s],15000[Pa] ISBL="Isobaric surface"
119,Absolute vorticity [1/s],15000[Pa] ISBL="Isobaric surface"
120,Cloud mixing ratio [kg/kg],15000[Pa] ISBL="Isobaric surface"
121,Ice water mixing ratio [kg/kg],15000[Pa] ISBL="Isobaric surface"
122,Rain mixing ratio [kg/kg],15000[Pa] ISBL="Isobaric surface"
123,Snow mixing ratio [kg/kg],15000[Pa] ISBL="Isobaric surface"
124,Graupel (snow pellets) [kg/kg],15000[Pa] ISBL="Isobaric surface"
125,Icing severity [-],15000[Pa] ISBL="Isobaric surface"
126,Ozone Mixing Ratio [kg/kg],15000[Pa] ISBL="Isobaric surface"
127,Geopotential height [gpm],20000[Pa] ISBL="Isobaric surface"
128,Temperature [C],20000[Pa] ISBL="Isobaric surface"
129,Relative humidity [%],20000[Pa] ISBL="Isobaric surface"
130,Total cloud cover [%],20000[Pa] ISBL="Isobaric surface"
131,Vertical velocity (pressure) [Pa/s],20000[Pa] ISBL="Isobaric surface"
132,Verical velocity (geometric) [m/s],20000[Pa] ISBL="Isobaric surface"
133,u-component of wind [m/s],20000[Pa] ISBL="Isobaric surface"
